*****   .tiff Pages Counter   *****

---> Enter an absolute path to the .tiffs directory or d for default: 

At the folder: /home/miguelf/Dropbox/Scans-BOL/BOL_Review
718538_BOL.tif has 1 pages
718838_BOL.tif has 2 pages
747002_BOL.tif has 2 pages
669482_BOL.tif has 2 pages
739306_BOL.tif has 1 pages
726513_BOL.tif has 1 pages
726916_BOL.tif has 5 pages
668762_BOL.tif has 1 pages
747142_BOL.tif has 2 pages
732500_BOL.tif has 1 pages
708532_BOL.tif has 2 pages
726628_BOL.tif has 2 pages
708931_BOL.tif has 7 pages
740151_BOL.tif has 4 pages
M01618_BOL.tif has 1 pages
664531_BOL.tif has 10 pages
740313_BOL.tif has 2 pages
678986_BOL.tif has 2 pages
718839_BOL.tif has 2 pages
719986_BOL.tif has 2 pages
670468_BOL.tif has 2 pages
737138_BOL.tif has 2 pages
600155_BOL.tif has 2 pages
738767_BOL.tif has 1 pages
700451_BOL.tif has 6 pages
650948_BOL.tif has 2 pages
721658_BOL.tif has 2 pages
737158_BOL.tif has 2 pages
679006_BOL.tif has 2 pages
725927_BOL.tif has 2 pages
737194_BOL.tif has 2 pages
708679_BOL.tif has 1 pages
675835_BOL.tif has 2 pages
709986_BOL.tif has 6 pages
679393_BOL.tif has 2 pages
658673_BOL.tif has 3 pages
745817_BOL.tif has 2 pages
721657_BOL.tif has 2 pages
725901_BOL.tif has 2 pages
718130_BOL.tif has 2 pages
718020_BOL.tif has 5 pages
650946_BOL.tif has 2 pages
675842_BOL.tif has 2 pages
725240_BOL.tif has 2 pages
694804_BOL.tif has 4 pages
642576_BOL.tif has 3 pages
740219_BOL.tif has 2 pages
669533_BOL.tif has 2 pages
740082_BOL.tif has 1 pages
732502_BOL.tif has 1 pages
556454_BOL.tif has 2 pages
719244_BOL.tif has 4 pages
655740_BOL.tif has 2 pages
740126_BOL.tif has 2 pages
670456_BOL.tif has 4 pages
675860_BOL.tif has 2 pages
738735_BOL.tif has 2 pages
635623_BOL.tif has 4 pages
747119_BOL.tif has 2 pages
726388_BOL.tif has 2 pages
619846_BOL.tif has 1 pages
725224_BOL.tif has 2 pages
659088_BOL.tif has 2 pages
726102_BOL.tif has 2 pages
731713_BOL.tif has 2 pages
745445_BOL.tif has 6 pages
692243_BOL.tif has 3 pages
738729_BOL.tif has 2 pages
745499_BOL.tif has 1 pages
556432_BOL.tif has 2 pages
738759_BOL.tif has 2 pages
659095_BOL.tif has 2 pages
708946_BOL.tif has 7 pages
646405_BOL.tif has 2 pages
670460_BOL.tif has 3 pages
708681_BOL.tif has 6 pages
M01626_BOL.tif has 1 pages
679396_BOL.tif has 2 pages
666995_BOL.tif has 2 pages
693470_BOL.tif has 3 pages
678996_BOL.tif has 2 pages
737191_BOL.tif has 2 pages
725437_BOL.tif has 4 pages
645058_BOL.tif has 1 pages
745818_BOL.tif has 2 pages
708504_BOL.tif has 2 pages
667059_BOL.tif has 2 pages
740650_BOL.tif has 2 pages
645664_BOL.tif has 2 pages
718527_BOL.tif has 5 pages
739322_BOL.tif has 1 pages
590547_BOL.tif has 2 pages
718730_BOL.tif has 2 pages
725220_BOL.tif has 2 pages
726731_BOL.tif has 2 pages
619812_BOL.tif has 3 pages
679023_BOL.tif has 2 pages
745441_BOL.tif has 4 pages
694829_BOL.tif has 8 pages
675844_BOL.tif has 2 pages
740692_BOL.tif has 2 pages
622223_BOL.tif has 2 pages
747005_BOL.tif has 2 pages
721563_BOL.tif has 5 pages
700517_BOL.tif has 4 pages
693452_BOL.tif has 3 pages
668750_BOL.tif has 2 pages
739310_BOL.tif has 1 pages
669476_BOL.tif has 2 pages
Z0189_BOL.tif has 1 pages
719187_BOL.tif has 2 pages
732862_BOL.tif has 2 pages
630588_BOL.tif has 2 pages
739172_BOL.tif has 1 pages
725213_BOL.tif has 2 pages
651606_BOL.tif has 2 pages
600174_BOL.tif has 2 pages
664527_BOL.tif has 4 pages
740211_BOL.tif has 2 pages
541489_BOL.tif has 1 pages
659077_BOL.tif has 2 pages
718022_BOL.tif has 4 pages
732512_BOL.tif has 1 pages
747132_BOL.tif has 2 pages
708544_BOL.tif has 2 pages
739336_BOL.tif has 2 pages
739904_BOL.tif has 2 pages
747042_BOL.tif has 2 pages
708922_BOL.tif has 1 pages
725148_BOL.tif has 2 pages
719961_BOL.tif has 1 pages
M01341_BOL.tif has 1 pages
740087_BOL.tif has 2 pages
619844_BOL.tif has 1 pages
M01338_BOL.tif has 1 pages
741170_BOL.tif has 2 pages
740252_BOL.tif has 2 pages
694817_BOL.tif has 9 pages
726307_BOL.tif has 2 pages
M8304_BOL.tif has 1 pages
708528_BOL.tif has 2 pages
675869_BOL.tif has 2 pages
637900_BOL.tif has 5 pages
747107_BOL.tif has 2 pages
659588_BOL.tif has 3 pages
739841_BOL.tif has 4 pages
742523_BOL.tif has 2 pages
700606_BOL.tif has 2 pages
665203_BOL.tif has 1 pages
709974_BOL.tif has 6 pages
740684_BOL.tif has 2 pages
718525_BOL.tif has 1 pages
718495_BOL.tif has 2 pages
747104_BOL.tif has 2 pages
740525_BOL.tif has 2 pages
719984_BOL.tif has 2 pages
699190_BOL.tif has 1 pages
725943_BOL.tif has 2 pages
745990_BOL.tif has 3 pages
M01636_BOL.tif has 1 pages
719994_BOL.tif has 1 pages
740682_BOL.tif has 2 pages
740114_BOL.tif has 3 pages
725824_BOL.tif has 2 pages
678768_BOL.tif has 2 pages
666973_BOL.tif has 2 pages
700456_BOL.tif has 6 pages
590544_BOL.tif has 2 pages
588446_BOL.tif has 5 pages
718676_BOL.tif has 6 pages
739328_BOL.tif has 6 pages
750277_BOL.tif has 2 pages
718477_BOL.tif has 1 pages
645666_BOL.tif has 3 pages
740052_BOL.tif has 2 pages
600169_BOL.tif has 2 pages
739207_BOL.tif has 2 pages
629208_BOL.tif has 2 pages
668756_BOL.tif has 6 pages
635665_BOL.tif has 2 pages
737175_BOL.tif has 2 pages
732876_BOL.tif has 2 pages
745385_BOL.tif has 2 pages
657094_BOL.tif has 2 pages
619854_BOL.tif has 1 pages
709981_BOL.tif has 6 pages
583776_BOL.tif has 1 pages
679948_BOL.tif has 2 pages
721611_BOL.tif has 2 pages
635651_BOL.tif has 1 pages
630612_BOL.tif has 2 pages
725146_BOL.tif has 2 pages
590549_BOL.tif has 2 pages
630635_BOL.tif has 2 pages
726624_BOL.tif has 2 pages
665478_BOL.tif has 2 pages
740189_BOL.tif has 5 pages
595004_BOL.tif has 2 pages
743079_BOL.tif has 2 pages
718047_BOL.tif has 7 pages
745830_BOL.tif has 3 pages
718771_BOL.tif has 2 pages
708537_BOL.tif has 1 pages
725406_BOL.tif has 6 pages
718125_BOL.tif has 2 pages
740214_BOL.tif has 2 pages
739225_BOL.tif has 5 pages
750298_BOL.tif has 2 pages
738716_BOL.tif has 2 pages
659093_BOL.tif has 2 pages
719956_BOL.tif has 1 pages
718674_BOL.tif has 3 pages
739833_BOL.tif has 2 pages
743089_BOL.tif has 2 pages
709709_BOL.tif has 4 pages
678791_BOL.tif has 2 pages
665530_BOL.tif has 2 pages
721662_BOL.tif has 2 pages
725226_BOL.tif has 2 pages
675910_BOL.tif has 2 pages
745838_BOL.tif has 4 pages
725493_BOL.tif has 2 pages
622231_BOL.tif has 2 pages
694803_BOL.tif has 5 pages
721902_BOL.tif has 2 pages
745814_BOL.tif has 1 pages
719003_BOL.tif has 4 pages
745364_BOL.tif has 2 pages
679371_BOL.tif has 1 pages
726328_BOL.tif has 2 pages
708548_BOL.tif has 2 pages
Y6059_BOL.tif has 6 pages
651609_BOL.tif has 2 pages
739318_BOL.tif has 5 pages
679283_BOL.tif has 6 pages
Z0162_BOL.tif has 1 pages
669470_BOL.tif has 2 pages
M01600_BOL.tif has 1 pages
657061_BOL.tif has 2 pages
738730_BOL.tif has 2 pages
619833_BOL.tif has 1 pages
718542_BOL.tif has 1 pages
675863_BOL.tif has 2 pages
732877_BOL.tif has 2 pages
740693_BOL.tif has 2 pages
700518_BOL.tif has 2 pages
740145_BOL.tif has 4 pages
645068_BOL.tif has 2 pages
747018_BOL.tif has 2 pages
718831_BOL.tif has 2 pages
665466_BOL.tif has 2 pages
M00023_BOL.tif has 2 pages
678985_BOL.tif has 2 pages
745850_BOL.tif has 2 pages
726733_BOL.tif has 2 pages
745829_BOL.tif has 2 pages
718033_BOL.tif has 7 pages
740150_BOL.tif has 4 pages
725949_BOL.tif has 2 pages
635682_BOL.tif has 2 pages
739341_BOL.tif has 5 pages
718528_BOL.tif has 2 pages
630633_BOL.tif has 2 pages
709068_BOL.tif has 1 pages
700504_BOL.tif has 3 pages
726642_BOL.tif has 2 pages
709755_BOL.tif has 1 pages
740277_BOL.tif has 2 pages
645006_BOL.tif has 2 pages
Z0185_BOL.tif has 1 pages
600162_BOL.tif has 2 pages
745649_BOL.tif has 2 pages
679937_BOL.tif has 2 pages
619822_BOL.tif has 1 pages
745991_BOL.tif has 4 pages
725482_BOL.tif has 2 pages
740242_BOL.tif has 2 pages
725816_BOL.tif has 2 pages
700514_BOL.tif has 3 pages
665453_BOL.tif has 2 pages
669490_BOL.tif has 2 pages
725210_BOL.tif has 2 pages
669543_BOL.tif has 2 pages
708476_BOL.tif has 1 pages
732306_BOL.tif has 2 pages
675409_BOL.tif has 5 pages
726869_BOL.tif has 2 pages
747545_BOL.tif has 4 pages
665229_BOL.tif has 2 pages
666966_BOL.tif has 2 pages
750288_BOL.tif has 3 pages
725241_BOL.tif has 2 pages
726074_BOL.tif has 2 pages
666139_BOL.tif has 2 pages
746333_BOL.tif has 5 pages
679044_BOL.tif has 2 pages
740180_BOL.tif has 3 pages
737986_BOL.tif has 3 pages
664540_BOL.tif has 9 pages
740903_BOL.tif has 2 pages
667054_BOL.tif has 2 pages
637995_BOL.tif has 2 pages
658276_BOL.tif has 2 pages
718638_BOL.tif has 6 pages
719032_BOL.tif has 3 pages
745804_BOL.tif has 1 pages
740681_BOL.tif has 2 pages
642551_BOL.tif has 1 pages
709148_BOL.tif has 2 pages
667056_BOL.tif has 2 pages
708653_BOL.tif has 2 pages
622229_BOL.tif has 1 pages
719010_BOL.tif has 5 pages
718746_BOL.tif has 2 pages
740008_BOL.tif has 2 pages
738247_BOL.tif has 2 pages
645007_BOL.tif has 2 pages
666402_BOL.tif has 9 pages
665208_BOL.tif has 2 pages
709066_BOL.tif has 1 pages
648992_BOL.tif has 1 pages
719020_BOL.tif has 1 pages
726853_BOL.tif has 2 pages
726317_BOL.tif has 2 pages
719046_BOL.tif has 2 pages
725252_BOL.tif has 2 pages
732861_BOL.tif has 1 pages
709109_BOL.tif has 2 pages
750202_BOL.tif has 2 pages
737187_BOL.tif has 2 pages
726727_BOL.tif has 2 pages
670479_BOL.tif has 9 pages
709118_BOL.tif has 3 pages
719235_BOL.tif has 6 pages
651620_BOL.tif has 2 pages
693832_BOL.tif has 2 pages
750285_BOL.tif has 2 pages
740696_BOL.tif has 2 pages
738719_BOL.tif has 2 pages
718658_BOL.tif has 1 pages
694850_BOL.tif has 8 pages
646410_BOL.tif has 2 pages
666990_BOL.tif has 2 pages
679384_BOL.tif has 2 pages
630638_BOL.tif has 2 pages
590543_BOL.tif has 2 pages
655685_BOL.tif has 2 pages
583765_BOL.tif has 2 pages
719236_BOL.tif has 4 pages
718673_BOL.tif has 6 pages
669546_BOL.tif has 2 pages
668700_BOL.tif has 2 pages
739821_BOL.tif has 2 pages
630615_BOL.tif has 2 pages
738789_BOL.tif has 2 pages
630580_BOL.tif has 2 pages
556430_BOL.tif has 2 pages
675861_BOL.tif has 2 pages
721556_BOL.tif has 4 pages
590540_BOL.tif has 2 pages
679978_BOL.tif has 2 pages
745514_BOL.tif has 2 pages
665535_BOL.tif has 2 pages
663647_BOL.tif has 2 pages
665296_BOL.tif has 2 pages
619842_BOL.tif has 1 pages
700552_BOL.tif has 5 pages
726380_BOL.tif has 1 pages
726390_BOL.tif has 8 pages
725904_BOL.tif has 2 pages
692247_BOL.tif has 4 pages
635693_BOL.tif has 2 pages
726336_BOL.tif has 2 pages
622230_BOL.tif has 2 pages
708923_BOL.tif has 4 pages
M01601_BOL.tif has 1 pages
660372_BOL.tif has 2 pages
719104_BOL.tif has 2 pages
737991_BOL.tif has 4 pages
M01329_BOL.tif has 1 pages
